SPANISH,ENGLISH
amigo,friend
árbol,tree
lunes,Monday
mesa,table
boca,mouth
flor,flower
corto,short
largo,long
frío,cold
calor,heat
noche,night
campo,field
reloj,clock
techo,roof
trigo,wheat
perro,dog
mujer,woman
hielo,ice
verde,green
negro,black
claro,light
limpio,clean
viento,wind
coche,car
mango,handle
juego,game
grano,grain
ratón,mouse
serio,serious
padre,father
madre,mother
niña,girl
niño,boy
fuego,fire
punto,point
papel,paper
torre,tower
hoja,leaf
vista,view
ayuda,help
primo,cousin
tema,theme
regla,rule
falda,skirt
hijo,son
camino,road
fruta,fruit
marco,frame
bolsa,bag
grupo,group
nivel,level
dolor,pain
radio,radio
carta,letter
copa,glass
ciego,blind
tibio,warm
junio,June
blanco,white
